Sample Time MS,Sample Cycles,Interesting Time MS,Interesting Cycles,Q Sort Time MS,Q Sort Cycles
256,817835,242,772511,87,277728
236,755510,311,992797,187,595729
388,1236745,426,1358457,262,836177
563,1794516,396,1265451,257,821569
253,805748,257,821080,86,274407
296,944173,309,983870,89,282502
292,930750,299,952026,85,271622
293,937547,264,841144,86,272976
420,1340509,283,904314,90,284300
296,942788,267,853009,84,269472
234,746978,261,831620,87,275729
229,730192,240,766983,86,274562
231,736272,232,742787,85,271998
247,787675,242,772299,87,276070
226,721975,242,772085,88,279562
238,759394,247,786469,88,280305
227,726880,233,744851,88,280576
223,712477,259,825517,86,272549
242,770953,239,762538,88,279178
235,749540,226,723345,85,271834
237,754686,241,769969,86,275945
348,1112404,257,821360,94,302428
290,927963,249,794613,85,269828
234,747232,227,725040,95,304995
367,1169600,411,1312083,258,822818
427,1362817,396,1263952,258,822770
508,1621208,262,835123,86,275969
288,919715,228,728262,85,271092
255,811915,284,905210,105,336719
396,1263687,408,1301730,90,287167
300,955146,265,844700,88,279411
349,1114724,237,756363,87,279455
268,853187,293,936010,86,273224
285,908531,255,813692,86,276188
228,724893,231,738960,86,276118
242,770868,246,783877,84,268541
247,789931,236,754935,86,275549
229,729542,247,786506,86,272640
227,726460,227,725154,84,268517
239,759950,226,720584,86,273722
225,716425,257,819683,84,270218
225,717072,223,710629,86,275627
234,745703,251,801303,87,274584
218,696323,235,749871,86,275918
237,757951,240,768279,85,270836
235,748292,236,752982,86,272906
213,681782,281,897748,100,317414
235,751401,298,951236,97,309153
296,945016,301,960262,128,406253
308,983797,233,741372,87,277253
483,1541425,244,780249,88,281473
296,944181,276,880855,98,312238
275,877123,280,895225,85,271921
228,728473,234,744800,86,273241
289,923405,265,845076,87,275975
437,1394908,300,958263,87,278899
332,1060387,318,1016590,85,272631
388,1237418,268,854648,86,272197
366,1168603,304,969560,89,282099
276,882733,244,779376,84,270303
239,761296,234,748447,88,280013
232,739246,219,698978,92,296338
223,712799,232,739740,86,274361
221,703042,234,746696,87,277345
246,784942,241,770537,86,275003
217,694076,255,812836,86,277199
216,691224,256,817545,85,271391
228,727733,237,758025,85,270307
240,766804,238,761137,85,273897
235,748627,237,755134,85,271986
251,801641,240,765850,86,274885
218,695939,242,772336,92,293744
264,844353,289,923442,98,311222
237,756465,252,804646,88,278685
368,1175948,261,834418,87,279067
255,814154,352,1122518,94,298268
259,826988,248,793349,89,284518
300,957491,335,1069703,88,283405
310,991011,226,719044,87,276110
304,969619,270,863742,105,332600
371,1183934,507,1619224,90,287701
311,993040,384,1227397,85,271570
